case,ate_error_abs
confounder_aug,0.023567
confounder_interferer_aug,0.162542
instrument_mar,0.152336
ID_ex3_collapse,0.777294
ID_ex2_aug,0.164456
ID_ex6_collapse,0.145000
ID_ex4_aug,0.418179
ID_ex1_mar,0.160000
ID_ex5_mar,0.290250
ID_targeted_aug,0.276469
nonID_ex5_aug,0.043023
nonID_ex4_aug,0.085830
nonID_ex1_aug,0.143351
case,ate_error_abs
confounder_aug,0.023567
confounder_interferer_aug,0.162542
instrument_mar,0.152336
ID_ex3_collapse,0.777294
ID_ex2_aug,0.164456
ID_ex6_collapse,0.145000
ID_ex4_aug,0.418179
ID_ex1_mar,0.160000
ID_ex5_mar,0.290250
ID_targeted_aug,0.276469
nonID_ex5_aug,0.043023
nonID_ex4_aug,0.085830
nonID_ex1_aug,0.143351
