motif,n,m,observations,cpu_seconds,cuda_seconds,speedup,cpu_value,cuda_value
Confounder,20000,32,640000,1.4969173017889261,0.00016376888379454613,9140.425623629833,0.29924705624580383,0.29924696683883667
Confounder,40000,48,1920000,3.0978335081599653,0.0004920701030641794,6295.512547641861,0.29965412616729736,0.2996545732021332
Confounder,60000,64,3840000,4.468050363007933,0.0008970149792730808,4981.020904053054,0.29969558119773865,0.299696147441864
Confounder,90000,80,7200000,6.797003821004182,0.001602906035259366,4240.425621645601,0.29969438910484314,0.29969415068626404
Confounder,120000,96,11520000,9.295749937184155,0.0024984958581626415,3720.5384618968783,0.2999621033668518,0.29996258020401
Confounder,180000,128,23040000,13.696122183930129,0.004895848920568824,2797.496901178651,0.2997404634952545,0.299737811088562
Confounder,240000,160,38400000,18.919450757093728,0.008104817941784859,2334.3461744591946,0.29986563324928284,0.2998653054237366
Mediator,20000,32,640000,2.536810201825574,0.00029110792092978954,8714.329014899637,0.41311073303222656,0.41311004757881165
Mediator,40000,48,1920000,5.263112420914695,0.0008145489264279604,6461.382797464371,0.4144824743270874,0.4144824147224426
Mediator,60000,64,3840000,7.824107782915235,0.0014867710415273905,5262.483304004474,0.4149751365184784,0.41497403383255005
Mediator,90000,80,7200000,11.712682951008901,0.0026661809533834457,4393.056268797222,0.4145719110965729,0.41457119584083557
Mediator,120000,96,11520000,16.079927732935175,0.004173963097855449,3852.4364868479365,0.41475167870521545,0.41475218534469604
Mediator,180000,128,23040000,24.30563344503753,0.008183519821614027,2970.070822195889,0.4144514203071594,0.41445451974868774
Mediator,240000,160,38400000,32.24040062096901,0.014046570984646678,2295.25061000359,0.4143371284008026,0.4143374264240265
Instrument,20000,32,640000,2.704317464027554,0.0003307329025119543,8176.741544273196,0.100426584482193,0.10042645037174225
Instrument,40000,48,1920000,5.421447322005406,0.0008727009408175945,6212.262492723216,0.10054672509431839,0.10054650157690048
Instrument,60000,64,3840000,8.071013645036146,0.0016051579732447863,5028.1740361796265,0.09991665184497833,0.09991686046123505
Instrument,90000,80,7200000,11.813500548014417,0.0028819148428738117,4099.184463144697,0.09990451484918594,0.09990467131137848
Instrument,120000,96,11520000,15.742552901851013,0.0045147689525038,3486.901116638651,0.10159286856651306,0.10159343481063843
Instrument,180000,128,23040000,24.206609474029392,0.008872500853613019,2728.273558201134,0.10083839297294617,0.10083901137113571
Instrument,240000,160,38400000,33.76079321093857,0.014677693834528327,2300.142896530413,0.1008528470993042,0.10085221379995346
