motif,quantity,slope,r2
Confounder,Sequential CPU,0.6170233218789422,0.9993347628782441
Confounder,Batched CUDA,0.9444587399995412,0.9996594184810232
Confounder,Speedup,-0.3274354181205987,0.9968383685186152
Mediator,Sequential CPU,0.6225453812616453,0.9994340183497812
Mediator,Batched CUDA,0.9396171424531786,0.9993674023942987
Mediator,Speedup,-0.31707176119153346,0.9890366594477163
Instrument,Sequential CPU,0.6120951312663087,0.9997982723140976
Instrument,Batched CUDA,0.9265603937267579,0.9993466808468238
Instrument,Speedup,-0.31446526246044904,0.9955352968583338
