case,truth_ref,id_ok,identifiable,est_ok,est_mc_conv,est_mc_delta,est_used_mc,truth_mc_conv,truth_mc_delta,truth_used_nu,aligned_truth_ATE,align_conv,align_mc_delta,align_used_mc,|err_aligned|,rounds,sim_nu_used,sim_ns_used,elapsed_s,ATE_hat,true_ATE,|err|,status,note
confounder_aug,curated_dgp_mc,True,True,True,True,0.0009466666666664292,400,True,0.0,,0.20239404296875008,True,0.001031249999999928,400,0.03831929036458326,1,30,10,116.29,0.24071333333333333,0.31530814748067937,0.07459481414734603,aligned_accurate,
confounder_interferer_aug,curated_dgp_mc,True,True,True,True,0.000789807244387708,400,True,0.0,,0.021324553866554796,True,3.9002919020647564e-05,400,0.09184226116050495,1,30,10,8117.09,0.11316681502705975,0.37995251407502717,0.26678569904796745,aligned_but_data_limited,
instrument_mar,curated_dgp_mc,True,True,True,True,4.590520290370659e-05,400,True,0.0,,0.1702019755762203,True,0.0005634285961535479,400,0.576950980495169,1,30,10,96.12,0.7471529560713893,0.5755749648364168,0.17157799123497253,structurally_non_comparable,
ID_ex3_collapse,structural_binary_plate_do,True,True,True,True,0.000615253003980798,400,True,0.012916666666666576,2400.0,0.1987683377050713,True,5.290712405747744e-05,400,0.5263487409806699,1,30,10,73.86,0.7251170786857412,0.21041666666666659,0.5147004120190746,structurally_non_comparable,
ID_ex2_aug,structural_binary_plate_do,True,True,True,True,0.0,400,True,0.006541666666666779,2400.0,0.0,True,0.0,400,0.0,1,30,10,81.79,0.0,0.17004166666666676,0.17004166666666676,aligned_accurate,
ID_ex6_collapse,structural_binary_plate_do,True,True,True,True,0.0009279336426182283,400,True,0.009166666666666656,2400.0,0.02319513515409216,True,0.0011331413911268018,400,0.020098646219631533,1,30,10,7258.62,0.0030964889344606283,0.14833333333333332,0.1452368443988727,aligned_accurate,
ID_ex4_aug,structural_binary_plate_do,True,True,True,True,0.0006191903167040991,400,True,0.013333333333333308,2400.0,0.7441754983782256,True,0.00033407874200530596,400,0.22966689023094,1,30,10,132.2,0.9738423886091656,0.1658333333333334,0.8080090552758322,aligned_but_data_limited,
ID_ex1_mar,structural_binary_plate_do,True,True,True,True,0.0,400,True,0.0279166666666667,2400.0,0.0,True,0.0,400,0.0,1,30,10,0.35,0.0,0.14541666666666664,0.14541666666666664,aligned_accurate,
ID_ex5_mar,structural_binary_plate_do,True,True,True,True,0.0,400,True,0.010833333333333361,2400.0,0.0,True,0.0,400,0.0,1,30,10,0.34,0.0,0.30333333333333334,0.30333333333333334,aligned_accurate,
ID_targeted_aug,structural_binary_plate_do,True,True,True,True,0.00045928332660316595,400,True,0.011374999999999691,2400.0,7.67029984374279e-05,True,0.0003763409200276957,400,0.0012556089531212677,1,30,10,178.15,0.0013323119515586956,0.2838749999999999,0.2825426880484412,aligned_accurate,
nonID_ex5_aug,structural_binary_plate_do,True,True,True,True,0.0010383324166669539,400,True,0.0055833333333333846,2400.0,0.2547623021328128,True,0.0009377434765627246,400,0.1826672557494795,1,30,10,114.49,0.0720950463833333,0.1731666666666667,0.10107162028333339,aligned_but_data_limited,
nonID_ex4_aug,structural_binary_plate_do,True,True,True,True,0.0008296935680215944,400,True,0.010833333333333361,2400.0,0.038944260613828385,True,0.00015437627596781578,400,0.4050478710535517,1,30,10,328.14,-0.36610361043972334,0.16416666666666668,0.5302702771063901,aligned_but_data_limited,
nonID_ex1_aug,structural_binary_plate_do,True,True,True,True,6.106576477099557e-05,400,True,0.0019166666666666776,2400.0,0.08435403335233249,True,6.240899044829273e-05,400,0.04793224650703237,1,30,10,151.17,0.13228627985936486,0.19491666666666674,0.06263038680730187,aligned_accurate,
