case,truth_ref,id_ok,identifiable,est_ok,est_mc_conv,est_mc_delta,est_used_mc,truth_mc_conv,truth_mc_delta,truth_used_nu,aligned_truth_ATE,align_conv,align_mc_delta,align_used_mc,|err_aligned|,rounds,sim_nu_used,sim_ns_used,elapsed_s,ATE_hat,true_ATE,|err|,status,note
confounder_aug,curated_dgp_mc,True,True,True,True,0.0009466666666664292,400,True,0.0,,0.20239404296875008,True,0.001031249999999928,400,0.03831929036458326,1,30,10,62.11,0.24071333333333333,0.31530814748067937,0.07459481414734603,aligned_accurate,
confounder_interferer_aug,curated_dgp_mc,True,True,True,True,0.0001663597040466036,800,True,0.0,,0.01128320250056708,True,0.0003485529583029945,800,0.18180833747642422,2,51,15,30673.87,0.1930915399769913,0.37995251407502717,0.18686097409803587,aligned_but_data_limited,
instrument_mar,curated_dgp_mc,True,True,True,True,4.118222957316675e-06,800,True,0.0,,0.5418518733467677,True,5.975940353197817e-05,800,0.020056759333973107,2,51,15,192.55,0.5217951140127945,0.5755749648364168,0.053779850823622244,aligned_accurate,
ID_ex3_collapse,structural_binary_plate_do,True,True,True,True,0.00013619660784525145,800,True,0.0025000000000000577,2400.0,0.21782206521347025,True,3.080561569557272e-05,800,0.4252324783599589,2,51,15,197.04,-0.20741041314648867,0.19499999999999995,0.4024104131464886,aligned_but_data_limited,
ID_ex2_aug,structural_binary_plate_do,True,True,True,True,0.0,400,True,0.01520833333333349,2400.0,0.0,True,0.0,400,0.0,1,30,10,75.8,0.0,0.16070833333333323,0.16070833333333323,aligned_accurate,
ID_ex6_collapse,structural_binary_plate_do,True,True,True,True,0.0007295851577222567,800,True,0.018750000000000044,2400.0,0.00020426090777153627,True,0.0004370246603072059,800,0.0018854625425380744,2,51,15,29506.52,0.0020897234503096107,0.16708333333333336,0.16499360988302375,aligned_accurate,
ID_ex4_aug,structural_binary_plate_do,True,True,True,True,5.918838630702972e-05,800,True,0.006666666666666599,2400.0,0.38212975471179855,True,6.7163053363406e-05,800,0.20837909370204866,2,51,15,122.87,0.5905088484138472,0.14666666666666672,0.4438421817471805,aligned_but_data_limited,
ID_ex1_mar,structural_binary_plate_do,True,True,True,True,0.0,400,True,0.007083333333333441,2400.0,0.0,True,0.0,400,0.0,1,30,10,0.13,0.0,0.17291666666666672,0.17291666666666672,aligned_accurate,
ID_ex5_mar,structural_binary_plate_do,True,True,True,True,0.0,400,True,0.008750000000000036,2400.0,0.0,True,0.0,400,0.0,1,30,10,0.17,0.0,0.29708333333333337,0.29708333333333337,aligned_accurate,
ID_targeted_aug,structural_binary_plate_do,True,True,True,True,0.0020358624243010937,400,True,0.004916666666666569,2400.0,-0.00020267260469430948,True,0.00013376849414503678,400,0.0028505601600977704,1,30,10,89.07,-0.00305323276479208,0.27300000000000013,0.2760532327647922,aligned_accurate,
nonID_ex5_aug,structural_binary_plate_do,True,True,True,True,0.0010258162287581918,800,True,0.02316666666666689,2400.0,0.1710776062597139,True,0.000322911396122727,800,0.0636461268415931,2,51,15,192.69,0.234723733101307,0.1566666666666665,0.0780570664346405,aligned_but_data_limited,
nonID_ex4_aug,structural_binary_plate_do,True,True,True,True,1.6469036677402293e-05,800,True,0.003958333333333286,4800.0,0.3702936464939845,True,5.455676760768302e-05,800,0.5171135475501316,2,51,15,656.82,-0.14681990105614712,0.18145833333333328,0.3282782343894804,structurally_non_comparable,
nonID_ex1_aug,structural_binary_plate_do,True,True,True,True,0.00017936410156793592,800,True,0.00666666666666671,2400.0,0.07984178474525949,True,4.951212468684574e-06,800,0.021902041904642955,2,51,15,250.92,0.05793974284061654,0.19108333333333327,0.13314359049271673,aligned_accurate,
