source,df,sum_sq,mean_sq,F,PR(>F)
C(class_type),2.0,11984.02784680172,5992.01392340086,21.858877945231143,1.772397759405748e-09
C(school_id),71.0,127267.671322632,1792.502412994817,6.5390521389088505,4.210660286421318e-29
Residual,251.0,68804.789456347,274.122667156761,,
