source,df,sum_sq,mean_sq,F,PR(>F)
C(class_type_label),2.0,11134.798848353625,5567.399424176812,19.837829014314178,1.0756191680563072e-08
C(teacher_gender_label),1.0,280.24745893415184,280.24745893415184,0.9985813390519863,0.31866892055794066
C(g1tcareer),5.0,6205.794354516105,1241.158870903221,4.422513203140244,0.0007180907700360695
C(teacher_race_label),2.0,10426.051280327707,5213.0256401638535,18.575119803281773,3.1903647946429215e-08
C(g1thighdegree),3.0,504.6100010771043,168.2033336923681,0.5993442753427382,0.6160172268305528
C(g1schid),71.0,109010.33488563017,1535.356829375073,5.470803141020503,2.0730294794924155e-23
g1tyears,1.0,294.98246731646447,294.98246731646447,1.0510853098544808,0.3062981445178361
Residual,238.0,66793.65277309252,280.64559988694333,,
